Date, Open, High, Low, Close
01/07/22, 1624.79, 1658.68, 1624.79, 1657.84
01/06/22, 1627.14, 1655.93, 1615.03, 1624.79
01/05/22, 1603.73, 1667.05, 1603.73, 1627.14
01/04/22, 1579.49, 1613.61, 1579.49, 1603.73
01/03/22, 1580.20, 1603.24, 1577.25, 1579.49
12/31/21, 1572.25, 1585.11, 1565.87, 1580.20
12/30/21, 1567.13, 1593.06, 1567.13, 1572.25
12/29/21, 1567.96, 1577.71, 1562.96, 1567.14
12/28/21, 1581.27, 1581.27, 1557.44, 1567.96
12/27/21, 1559.84, 1581.40, 1546.36, 1581.27
12/23/21, 1561.22, 1563.69, 1551.49, 1559.84
12/22/21, 1546.70, 1562.69, 1531.31, 1561.22
12/21/21, 1510.98, 1550.68, 1510.98, 1546.70
12/20/21, 1564.52, 1564.52, 1498.68, 1510.98
12/17/21, 1566.54, 1577.33, 1544.03, 1564.52
12/16/21, 1525.55, 1581.91, 1525.55, 1566.54
12/15/21, 1547.36, 1547.36, 1483.54, 1525.55
12/14/21, 1529.98, 1576.63, 1529.98, 1547.36
12/13/21, 1531.27, 1549.33, 1514.55, 1529.98
12/10/21, 1533.81, 1543.86, 1514.66, 1531.27
12/09/21, 1546.36, 1546.36, 1515.69, 1533.81
12/08/21, 1543.08, 1551.86, 1535.59, 1546.36
12/07/21, 1501.65, 1564.68, 1501.65, 1543.08
12/06/21, 1472.29, 1510.85, 1472.29, 1501.65
12/03/21, 1489.35, 1498.75, 1459.74, 1472.29
12/02/21, 1434.28, 1496.84, 1434.28, 1489.35
12/01/21, 1441.54, 1497.70, 1434.28, 1434.28
11/30/21, 1473.64, 1485.44, 1427.56, 1441.54
11/29/21, 1491.31, 1514.05, 1473.15, 1473.64
11/26/21, 1538.98, 1538.98, 1461.04, 1491.31
11/24/21, 1555.19, 1555.19, 1535.92, 1538.98
11/23/21, 1536.61, 1570.97, 1536.61, 1555.19
11/22/21, 1490.06, 1555.59, 1490.06, 1536.61
11/19/21, 1484.46, 1505.60, 1480.29, 1490.06
11/18/21, 1495.78, 1495.78, 1474.50, 1484.46
11/17/21, 1524.44, 1532.86, 1494.82, 1495.78
11/16/21, 1537.88, 1537.88, 1519.75, 1524.44
11/15/21, 1565.02, 1565.02, 1532.62, 1537.88
11/12/21, 1576.90, 1582.80, 1558.07, 1565.02
11/11/21, 1519.50, 1584.84, 1519.50, 1576.90
11/10/21, 1556.89, 1556.89, 1515.73, 1519.50
11/09/21, 1579.48, 1579.48, 1538.63, 1556.89
11/08/21, 1539.54, 1592.62, 1539.54, 1579.48
11/05/21, 1535.93, 1545.61, 1529.55, 1539.54
11/04/21, 1542.86, 1554.32, 1522.74, 1535.93
11/03/21, 1543.68, 1544.13, 1525.33, 1542.86
11/02/21, 1571.28, 1571.28, 1533.46, 1543.68
11/01/21, 1567.89, 1579.97, 1550.35, 1571.28
10/29/21, 1570.57, 1582.76, 1561.17, 1567.89
10/28/21, 1567.70, 1579.70, 1564.68, 1570.57
10/27/21, 1618.86, 1618.86, 1566.65, 1567.70
10/26/21, 1624.67, 1636.09, 1607.24, 1618.85
10/25/21, 1569.81, 1631.89, 1569.81, 1624.67
10/22/21, 1557.19, 1579.18, 1548.90, 1569.80
10/21/21, 1600.69, 1600.69, 1534.08, 1557.19
10/20/21, 1606.90, 1610.85, 1576.55, 1600.69
10/19/21, 1616.12, 1616.30, 1593.84, 1606.90
10/18/21, 1615.49, 1616.88, 1584.25, 1616.12
10/15/21, 1604.26, 1634.41, 1604.26, 1615.49
10/14/21, 1582.00, 1621.03, 1582.00, 1604.26
10/13/21, 1581.28, 1583.36, 1560.03, 1582.00
10/12/21, 1575.94, 1591.07, 1573.97, 1581.28
10/11/21, 1551.94, 1608.24, 1551.94, 1575.94
10/08/21, 1549.27, 1573.46, 1548.43, 1551.94
10/07/21, 1520.67, 1568.30, 1520.67, 1549.27
10/06/21, 1544.69, 1544.69, 1492.10, 1520.67
10/05/21, 1533.63, 1556.23, 1521.81, 1544.69
10/04/21, 1546.68, 1560.41, 1531.72, 1533.63
10/01/21, 1535.66, 1552.19, 1514.08, 1546.68
09/30/21, 1533.50, 1568.22, 1533.50, 1535.67
09/29/21, 1542.96, 1562.99, 1527.52, 1533.50
09/28/21, 1580.91, 1580.91, 1534.78, 1542.96
09/27/21, 1554.23, 1584.81, 1554.23, 1580.91
09/24/21, 1568.51, 1572.23, 1549.55, 1554.23
09/23/21, 1567.96, 1585.09, 1551.39, 1568.51
09/22/21, 1536.38, 1597.28, 1536.38, 1567.97
09/21/21, 1542.09, 1556.89, 1508.69, 1536.38
09/20/21, 1615.36, 1615.36, 1513.70, 1542.09
09/17/21, 1681.81, 1681.81, 1609.22, 1615.36
09/16/21, 1732.24, 1732.24, 1680.58, 1681.81
09/15/21, 1689.47, 1734.23, 1689.47, 1732.24
09/14/21, 1725.68, 1727.60, 1687.05, 1689.47
09/13/21, 1722.98, 1750.52, 1710.14, 1725.68
09/10/21, 1729.09, 1766.82, 1722.87, 1722.98
09/09/21, 1726.91, 1739.32, 1715.25, 1729.08
09/08/21, 1764.33, 1764.33, 1723.46, 1726.91
09/07/21, 1767.89, 1784.27, 1763.76, 1764.33
09/03/21, 1771.93, 1791.61, 1763.21, 1767.89
09/02/21, 1772.36, 1791.21, 1768.13, 1771.93
09/01/21, 1767.99, 1782.83, 1733.92, 1772.35
08/31/21, 1795.88, 1795.88, 1759.04, 1767.99
08/30/21, 1804.47, 1816.91, 1795.68, 1795.88
08/27/21, 1753.29, 1810.82, 1753.29, 1804.47
08/26/21, 1784.55, 1785.54, 1749.70, 1753.29
08/25/21, 1789.86, 1803.28, 1780.58, 1784.55
08/24/21, 1730.71, 1798.46, 1730.71, 1789.86
08/23/21, 1709.10, 1741.70, 1709.10, 1730.71
08/20/21, 1714.61, 1718.81, 1691.60, 1709.09
08/19/21, 1790.02, 1790.02, 1700.53, 1714.61
08/18/21, 1811.13, 1821.19, 1785.90, 1790.02
08/17/21, 1868.58, 1868.58, 1783.38, 1811.13
08/16/21, 1891.94, 1891.94, 1831.33, 1868.58
08/13/21, 1894.08, 1905.77, 1883.19, 1891.94
08/12/21, 1920.57, 1920.57, 1868.76, 1894.08
08/11/21, 1898.95, 1922.80, 1896.42, 1920.57
08/10/21, 1839.84, 1905.28, 1839.84, 1898.95
08/09/21, 1825.39, 1843.69, 1802.43, 1839.84
08/06/21, 1809.08, 1837.82, 1809.08, 1825.39
08/05/21, 1839.64, 1839.64, 1807.37, 1809.08
08/04/21, 1864.53, 1864.53, 1836.75, 1839.64
08/03/21, 1828.65, 1865.08, 1808.84, 1864.53
08/02/21, 1845.76, 1878.95, 1826.70, 1828.65
07/30/21, 1885.14, 1885.14, 1839.22, 1845.76
07/29/21, 1830.92, 1895.24, 1830.92, 1885.15
07/28/21, 1792.27, 1838.09, 1791.27, 1830.92
07/27/21, 1817.33, 1817.33, 1772.46, 1792.27
07/26/21, 1759.99, 1819.94, 1759.99, 1817.33
07/23/21, 1742.73, 1764.27, 1741.13, 1759.99
07/22/21, 1747.01, 1752.27, 1718.46, 1742.73
07/21/21, 1704.47, 1750.82, 1704.47, 1747.01
07/20/21, 1672.98, 1709.14, 1649.00, 1704.47
07/19/21, 1722.04, 1722.04, 1645.50, 1672.98
07/16/21, 1778.01, 1778.00, 1718.96, 1722.04
07/15/21, 1773.85, 1799.12, 1762.84, 1778.00
